title,title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres
Shingeki no Kyojin,Attack on Titan,Finished Airing,25,R - 17+ (violence & profanity),117,1,4188784,181378,8.56,2952092,"Action, Award Winning, Drama, Suspense"
Death Note,Death Note,Finished Airing,37,R - 17+ (violence & profanity),92,2,4128800,180547,8.62,2891301,"Supernatural, Suspense"
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,Finished Airing,64,R - 17+ (violence & profanity),2,3,3541474,234763,9.1,2228653,"Action, Adventure, Drama, Fantasy"
One Punch Man,One Punch Man,Finished Airing,12,R - 17+ (violence & profanity),155,4,3404988,65898,8.48,2348987,"Action, Comedy"
Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Finished Airing,26,R - 17+ (violence & profanity),187,5,3281711,93059,8.43,2253318,"Action, Award Winning, Supernatural"
Sword Art Online,Sword Art Online,Finished Airing,25,PG-13 - Teens 13 or older,3346,6,3210331,69926,7.22,2227302,"Action, Adventure, Fantasy, Romance"
Boku no Hero Academia,My Hero Academia,Finished Airing,13,PG-13 - Teens 13 or older,986,7,3189172,53975,7.84,2166682,Action
Hunter x Hunter (2011),Hunter x Hunter,Finished Airing,148,PG-13 - Teens 13 or older,8,8,3044411,221664,9.03,1889635,"Action, Adventure, Fantasy"
Naruto,Naruto,Finished Airing,220,PG-13 - Teens 13 or older,674,9,3006981,83595,8.01,2070000,"Action, Adventure, Fantasy"
Tokyo Ghoul,Tokyo Ghoul,Finished Airing,12,R - 17+ (violence & profanity),1109,10,2962695,51829,7.79,1947195,"Action, Fantasy, Horror, Suspense"
Kimi no Na wa.,Your Name.,Finished Airing,1,PG-13 - Teens 13 or older,31,11,2917742,93707,8.83,2011870,"Award Winning, Drama"
Shingeki no Kyojin Season 2,Attack on Titan Season 2,Finished Airing,12,R - 17+ (violence & profanity),133,12,2899674,22435,8.53,1983504,"Action, Drama, Suspense"
Jujutsu Kaisen,Jujutsu Kaisen,Finished Airing,24,R - 17+ (violence & profanity),129,13,2840676,93814,8.54,1867105,"Action, Award Winning, Supernatural"
Steins;Gate,Steins;Gate,Finished Airing,24,PG-13 - Teens 13 or older,3,14,2712158,196685,9.07,1470722,"Drama, Sci-Fi, Suspense"
Boku no Hero Academia 2nd Season,My Hero Academia Season 2,Finished Airing,25,PG-13 - Teens 13 or older,601,15,2647350,16905,8.06,1799868,Action
Naruto: Shippuuden,Naruto Shippuden,Finished Airing,500,PG-13 - Teens 13 or older,314,16,2640210,116970,8.28,1754755,"Action, Adventure, Fantasy"
One Piece,One Piece,Currently Airing,0,PG-13 - Teens 13 or older,52,17,2548930,239752,8.73,1449377,"Action, Adventure, Fantasy"
Shingeki no Kyojin Season 3,Attack on Titan Season 3,Finished Airing,12,R - 17+ (violence & profanity),85,18,2547645,21650,8.63,1730471,"Action, Drama, Suspense"
Koe no Katachi,A Silent Voice,Finished Airing,1,PG-13 - Teens 13 or older,17,19,2500201,92828,8.93,1722326,"Award Winning, Drama"
No Game No Life,"No Game, No Life",Finished Airing,12,PG-13 - Teens 13 or older,635,20,2498523,48216,8.04,1592107,"Comedy, Fantasy, Ecchi"
